"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Newfoundland and Labrador [10]","2016A000210","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44329874","2.5.2","1.32","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44329874","2.5.2","0.76","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44329874","2.5.2","0.38","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44329874","2.5.2","0.96","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Homicide [110]","Rate per 100,000 population","Rate","257","units","0","v44329874","2.5.2","0.77","","","","2"
"2016","Newfoundland and Labrador [10]","2016A000210","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44374797","2.10.2","0.38","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44374797","2.10.2","0.19","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44374797","2.10.2","0.38","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44374797","2.10.2","0.00","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Total other violations causing death [120]","Rate per 100,000 population","Rate","257","units","0","v44374797","2.10.2","0.38","","","","2"
"2016","Newfoundland and Labrador [10]","2016A000210","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44368407","2.13.2","1.51","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44368407","2.13.2","0.95","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44368407","2.13.2","0.76","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44368407","2.13.2","0.76","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Attempted murder [1210]","Rate per 100,000 population","Rate","257","units","0","v44368407","2.13.2","0.19","","","","2"
"2016","Newfoundland and Labrador [10]","2016A000210","Sexual assault, level 3, aggravated [1310]","Rate per 100,000 population","Rate","257","units","0","v44414492","2.14.2","0.00","","","","2"
